博主主页,博主昵称,发布时间,微博内容,微博地址,微博来源,评论,赞,转发
https://weibo.com/2020913005?refer_flag=1001030103_,乖乖我的小q,2011-03-12 09:19,#灾难#福岛核电站发生泄漏，数千人紧急疏散！O网页链接,https://weibo.com/2020913005/bVcD73?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1254048975?refer_flag=1001030103_,卡比P兰胖,2011-03-12 09:19,日福岛核电站可能发生爆炸 周边居民紧急撤离 PS：OMG！ O网页链接  （转自 @头条新闻）,https://weibo.com/1254048975/bVcCvn?refer_flag=1001030103_,新浪新闻中心,1,0,1
https://weibo.com/2020913005?refer_flag=1001030103_,乖乖我的小q,2011-03-12 09:19,#2012#福岛核电站发生泄漏，数千人紧急疏散！O网页链接,https://weibo.com/2020913005/bVcCaD?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1743579123?refer_flag=1001030103_,哆啦King,2011-03-12 09:19,福岛县的第二核电站刚才正式决定立即释放原子炉内水蒸气,https://weibo.com/1743579123/bVcBqJ?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1611932052?refer_flag=1001030103_,黄小晒,2011-03-12 09:19,日本核电站貌似今天放含辐射物质蒸汽给原子炉减压 日后防辐射服可能是居家旅行必备之良品。。,https://weibo.com/1611932052/bVcAe7?refer_flag=1001030103_,微博 weibo.com,1,0,0
https://weibo.com/1761445514?refer_flag=1001030103_,吴宇Maggie,2011-03-12 08:29,#日本地震#福岛核电厂第一发电厂的泄漏刚刚被排除不久，第二发电厂又宣布因余震疑似泄漏，通知方圆3公里以内所有人紧急撤离；目前已确认死亡人数超1000；目前为止所释放的破坏力超过汶川地震20倍；附图是本次海啸波及范围预测，整个太平洋都是橙色的，中国东部沿海也请注意警报！,https://weibo.com/1840217920/3f4CYlm9rG?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1339606213?refer_flag=1001030103_,甘草君子,2011-03-12 05:41,共同社最新消息：福岛县第一核电站附近的放射物质含量已达到正常标准的8倍。日本官员称该核电站可能已发生核泄漏。 日本首相发表声明，核电站周围10公里内居民必须撤离。,https://weibo.com/1893801487/3f4CYlfAFD?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1935770580?refer_flag=1001030103_,速度狂犬_Ex修罗架势,2011-03-12 09:18,"有时候感觉自己真的究极的太淡定了,该说是真不愧是时刻都注意自己仪表究极的完美主义小处男座还是极限的粗神经拳击座...?得知核电站可能泄漏后我的第一反应竟然是翻出菊花茶准备泡茶...貌似说菊花茶防辐射?[那个是电脑辐射吧喂!]",https://weibo.com/1935770580/bVcyfr?refer_flag=1001030103_,微博 weibo.com,10,0,0
https://weibo.com/1929866995?refer_flag=1001030103_,鹿後会无期,2011-03-12 09:18,福岛核电站泄露，不会威胁到东北吧。[闪电],https://weibo.com/1929866995/bVcxUF?refer_flag=1001030103_,S60客户端,3,0,1
https://weibo.com/1658570517?refer_flag=1001030103_,古月的风儿,2011-03-12 06:41,【日本福岛核电站可能已泄漏 辐射强度异常千倍】中新网据日本媒体报道：东京电力公司表示，福岛核电站可能已经出现泄露。日本核安全部门称，一个反应堆内部的辐射强度已达正常水平的1000倍。面对可能出现的核泄露，日本首相菅直人要求福岛核电站周围10公里内居民进行疏散。O网页链接,https://weibo.com/1618051664/3f4CYljbqk?refer_flag=1001030103_,微博 weibo.com,0,0,2
https://weibo.com/1843766950?refer_flag=1001030103_,蘇格akira,2011-03-12 00:35,电视里反复放着海啸的镜头，一瞬间什么都淹了，车在那种速度下也跑不掉更别说人了，恐怖,https://weibo.com/1843766950/3f4CYl8hPi?refer_flag=1001030103_,iPhone客户端,1,0,0
https://weibo.com/1642088277?refer_flag=1001030103_,财经网,2011-03-12 09:18,【日本福岛县第一和第二核电站已发现核泄漏】福岛县第一和第二核电站已经发现核泄漏，因此，日本政府紧急决定疏散周围10公里的居民。福岛县南相马市有1800户人家遭海啸袭击，已经处于全部毁灭状态，死者目前无法统计。O网页链接,https://weibo.com/1642088277/bVcvWp?refer_flag=1001030103_,微博 weibo.com,167,0,713
https://weibo.com/1864333324?refer_flag=1001030103_,Sabrina-哎玛,2011-03-12 07:03,法新社最新消息：东京电力公司宣称，福岛第二核电站的冷却系统也发生故障。该核电站距离福岛第一核电站仅11公里。目前据官方称，福岛第一核电站可能已发生核泄漏。,https://weibo.com/1893801487/3f4CYlhPNM?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1651513312?refer_flag=1001030103_,墨尔本的石头,2011-03-12 09:18,日本大地震值得庆祝…但是反过来说…如果地震发生在北上广…什么的…中国的损失该有多惨烈…鄙视小日本…但不得不佩服他们的智慧…现在整个中国掉到钱眼里面了…质量…事不关几高高挂起…315了那不该是场演出… 《日本福岛核电站开始泄漏放射性物质》 O网页链接（ 来自@手机新浪网 ）,https://weibo.com/1651513312/bVcuPv?refer_flag=1001030103_,手机新浪网,0,0,0
